State;Action;Reward;Next_State
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];2;-0.72;[3, 1, 66]
[3, 1, 66];2;0.77;[1, 10, 64]
[1, 10, 64];1;0.66;[1, 10, 54]
[1, 10, 54];2;0.0;[2, 6, 50]
[2, 6, 50];1;-3.85;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];2;-0.01;[3, 20, 90]
[3, 20, 90];2;0.96;[4, 4, 74]
[4, 4, 74];4;1.85;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 46];1;0.67;[2, 1, 37]
[2, 1, 37];2;0.12;[1, 10, 34]
[1, 10, 34];1;0.68;[2, 1, 25]
[2, 1, 25];2;0.05;[1, 10, 23]
[1, 10, 23];1;-0.54;[2, 10, 23]
[2, 10, 23];2;3.5;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.72;[1, 10, 61]
[1, 10, 61];1;-0.54;[2, 10, 61]
[2, 10, 61];1;1.4;[1, 10, 75]
[1, 10, 75];2;-0.95;[2, 13, 78]
[2, 13, 78];1;-0.68;[3, 13, 78]
[3, 13, 78];1;2.88;[1, 15, 61]
[1, 15, 61];1;-0.75;[2, 14, 60]
[2, 14, 60];1;-0.68;[3, 14, 60]
[3, 14, 60];2;-0.56;[4, 10, 56]
[4, 10, 56];4;0.52;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 55];2;-1.09;[2, 14, 59]
[2, 14, 59];2;-0.54;[3, 13, 58]
[3, 13, 58];1;-0.69;[4, 10, 55]
[4, 10, 55];4;0.77;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 69];1;-0.54;[2, 10, 69]
[2, 10, 69];1;-0.56;[3, 9, 68]
[3, 9, 68];2;-0.75;[4, 3, 62]
[4, 3, 62];2;-2.66;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
