State;Action;Reward;Next_State
[1, 10, 72];2;-0.14;[2, 7, 69]
[2, 7, 69];2;-0.3;[3, 4, 66]
[3, 4, 66];1;-1.48;[4, 4, 66]
[4, 4, 66];4;0.04;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 89];1;0.37;[2, 3, 82]
[2, 3, 82];2;-0.37;[1, 10, 32]
[1, 10, 32];1;0.4;[2, 3, 25]
[2, 3, 25];1;0.73;[1, 10, 15]
[1, 10, 15];2;-0.47;[2, 9, 14]
[2, 9, 14];1;2.89;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];1;-0.72;[3, 1, 66]
[3, 1, 66];2;0.84;[1, 10, 63]
[1, 10, 63];1;0.66;[1, 10, 48]
[1, 10, 48];1;0.73;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 70];1;-0.55;[2, 10, 70]
[2, 10, 70];1;-0.69;[3, 10, 70]
[3, 10, 70];1;-0.74;[4, 5, 65]
[4, 5, 65];4;-0.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;0.4;[2, 3, 68]
[2, 3, 68];1;0.59;[1, 10, 60]
[1, 10, 60];2;-0.01;[2, 6, 56]
[2, 6, 56];1;-0.7;[3, 6, 56]
[3, 6, 56];1;-1.35;[4, 6, 56]
[4, 6, 56];4;0.84;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 99];1;0.26;[2, 1, 90]
[2, 1, 90];2;-0.23;[1, 10, 88]
[1, 10, 88];1;-0.22;[1, 15, 93]
[1, 15, 93];1;0.5;[2, 4, 82]
[2, 4, 82];1;-0.3;[3, 1, 79]
[3, 1, 79];2;0.85;[1, 10, 77]
[1, 10, 77];1;-1.07;[1, 20, 87]
[1, 20, 87];2;-0.08;[2, 14, 81]
[2, 14, 81];1;2.66;[1, 10, 54]
[1, 10, 54];1;-0.54;[2, 10, 54]
[2, 10, 54];2;-0.95;[3, 12, 56]
[3, 12, 56];1;2.29;[1, 15, 47]
[1, 15, 47];1;-0.76;[2, 14, 46]
[2, 14, 46];1;2.08;[1, 10, 27]
[1, 10, 27];1;0.75;[2, 1, 18]
[2, 1, 18];1;-0.69;[3, 1, 18]
[3, 1, 18];2;-1.53;[4, 2, 19]
[4, 2, 19];1;-2.46;[1, 10, 81]
[1, 10, 81];1;0.19;[2, 5, 76]
[2, 5, 76];1;0.86;[1, 10, 66]
[1, 10, 66];1;1.39;[1, 10, 45]
[1, 10, 45];1;-0.99;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
