State;Action;Reward;Next_State
[1, 10, 73];1;0.67;[2, 1, 64]
[2, 1, 64];2;0.25;[1, 10, 59]
[1, 10, 59];2;0.0;[2, 6, 55]
[2, 6, 55];1;0.99;[1, 10, 44]
[1, 10, 44];2;-0.4;[2, 9, 43]
[2, 9, 43];1;-0.7;[3, 9, 43]
[3, 9, 43];1;-1.15;[4, 9, 43]
[4, 9, 43];4;-0.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];1;-1.15;[2, 14, 69]
[2, 14, 69];1;2.54;[1, 10, 43]
[1, 10, 43];2;0.73;[1, 5, 38]
[1, 5, 38];1;0.0;[2, 14, 36]
[2, 14, 36];1;0.91;[3, 2, 24]
[3, 2, 24];2;0.9;[1, 10, 21]
[1, 10, 21];2;1.2;[1, 8, 8]
[1, 8, 8];2;-0.8;[3, 12, 12]
[3, 12, 12];1;-0.47;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[4, 12, 12];3;0.37;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;1.65;[1, 10, 50]
[1, 10, 50];2;-0.41;[2, 9, 49]
[2, 9, 49];1;-0.69;[4, 13, 53]
[4, 13, 53];4;0.64;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 88];1;0.28;[2, 4, 82]
[2, 4, 82];1;0.94;[1, 10, 71]
[1, 10, 71];2;0.13;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 5, 66];1;1.13;[1, 10, 52]
[1, 10, 52];2;-0.48;[2, 9, 52]
[2, 9, 52];1;1.33;[1, 10, 39]
[1, 10, 39];1;0.73;[1, 10, 28]
[1, 10, 28];2;0.8;[1, 10, 16]
[1, 10, 16];2;-0.74;[2, 11, 17]
[2, 11, 17];1;0.62;[3, 3, 9]
[3, 3, 9];1;2.61;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 73];2;-0.14;[2, 7, 70]
[2, 7, 70];1;4.05;[1, 10, 14]
[1, 10, 14];2;-0.32;[2, 8, 12]
[2, 8, 12];2;0.17;[3, 3, 7]
[3, 3, 7];1;2.5;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];2;-0.13;[2, 7, 61]
[2, 7, 61];2;-0.31;[3, 4, 58]
[3, 4, 58];2;-1.48;[4, 4, 58]
[4, 4, 58];4;0.97;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
