State;Action;Reward;Next_State
[1, 10, 62];2;0.26;[2, 4, 56]
[2, 4, 56];2;-0.31;[3, 1, 53]
[3, 1, 53];2;1.04;[1, 10, 47]
[1, 10, 47];1;0.33;[1, 10, 42]
[1, 10, 42];1;1.05;[1, 10, 26]
[1, 10, 26];1;0.81;[1, 10, 14]
[1, 10, 14];1;2.09;[1, 2, 2]
[1, 2, 2];2;-0.83;[2, 1, 1]
[2, 1, 1];2;1.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.72;[1, 10, 64]
[1, 10, 64];1;2.78;[1, 10, 22]
[1, 10, 22];1;1.26;[1, 8, 8]
[1, 8, 8];2;-0.42;[2, 6, 6]
[2, 6, 6];1;2.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 87];1;0.81;[2, 1, 78]
[2, 1, 78];2;0.58;[1, 10, 68]
[1, 10, 68];1;1.65;[1, 10, 43]
[1, 10, 43];1;0.73;[1, 10, 32]
[1, 10, 32];2;-0.82;[3, 24, 46]
[3, 24, 46];1;-0.17;[4, 24, 46]
[4, 24, 46];4;0.18;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 77];2;0.26;[2, 4, 71]
[2, 4, 71];2;1.19;[2, 4, 49]
[2, 4, 49];2;0.46;[1, 10, 44]
[1, 10, 44];2;-0.13;[2, 7, 41]
[2, 7, 41];2;-0.31;[3, 4, 38]
[3, 4, 38];1;2.16;[1, 10, 18]
[1, 10, 18];2;-0.57;[2, 10, 18]
[2, 10, 18];2;-0.34;[3, 7, 15]
[3, 7, 15];1;2.14;[1, 7, 7]
[1, 7, 7];2;-0.26;[2, 4, 4]
[2, 4, 4];2;-0.39;[3, 2, 2]
[3, 2, 2];1;2.02;[1, 1, 1]
[1, 1, 1];2;-1.06;[2, 1, 1]
[2, 1, 1];2;1.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
