State;Action;Reward;Next_State
[1, 10, 48];1;0.66;[1, 10, 38]
[1, 10, 38];1;0.73;[1, 10, 27]
[1, 10, 27];1;0.75;[2, 1, 18]
[2, 1, 18];2;0.05;[1, 10, 15]
[1, 10, 15];2;-4.21;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.26;[2, 4, 69]
[2, 4, 69];2;-0.44;[3, 7, 72]
[3, 7, 72];1;2.69;[1, 10, 47]
[1, 10, 47];2;-0.14;[2, 7, 44]
[2, 7, 44];1;0.09;[3, 1, 38]
[3, 1, 38];2;0.84;[1, 10, 35]
[1, 10, 35];2;-0.68;[2, 11, 36]
[2, 11, 36];1;0.63;[3, 1, 26]
[3, 1, 26];2;1.17;[1, 10, 18]
[1, 10, 18];1;1.46;[1, 6, 6]
[1, 6, 6];2;-0.3;[2, 3, 3]
[2, 3, 3];2;1.47;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.41;[2, 9, 74]
[2, 9, 74];1;0.36;[3, 1, 66]
[3, 1, 66];2;0.77;[1, 10, 64]
[1, 10, 64];2;-0.94;[3, 25, 79]
[3, 25, 79];1;-0.08;[4, 25, 79]
[4, 25, 79];4;1.62;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.79;[1, 10, 63]
[1, 10, 63];1;1.85;[1, 10, 35]
[1, 10, 35];1;3.75;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];1;-0.01;[2, 6, 76]
[2, 6, 76];1;1.33;[1, 10, 60]
[1, 10, 60];2;0.67;[2, 1, 51]
[2, 1, 51];2;-0.72;[3, 1, 51]
[3, 1, 51];2;-1.68;[4, 1, 51]
[4, 1, 51];2;2.45;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 49];1;-3.26;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 60];1;-0.55;[2, 10, 60]
[2, 10, 60];1;0.5;[3, 1, 51]
[3, 1, 51];1;1.37;[2, 10, 40]
[2, 10, 40];1;-2.78;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
